game_date,season,player_name,team,opponent,home_away,minutes,points,rebounds,assists,threes_made,steals,blocks,turnovers,fga,fgm,fta,ftm,offensive_rebounds,defensive_rebounds,plus_minus,player_key,is_home,_data_source,game_id,player_id,position,starter,played,source
2025-07-27,2025,A'ja Wilson,LVA,DAL,A,34.0,14.0,10.0,7.0,1.0,2.0,4.0,3.0,10.0,5.0,3.0,3.0,1.0,9.0,,a'ja wilson,0,last_good_canonical,401736273.0,3149391.0,C,1.0,1.0,espn
2025-07-30,2025,A'ja Wilson,LVA,LAS,A,30.0,34.0,10.0,4.0,1.0,3.0,3.0,3.0,23.0,16.0,1.0,1.0,3.0,7.0,,a'ja wilson,0,last_good_canonical,401736280.0,3149391.0,C,1.0,1.0,espn
2025-08-02,2025,A'ja Wilson,LVA,MIN,A,22.0,10.0,5.0,2.0,1.0,0.0,0.0,2.0,11.0,4.0,2.0,1.0,1.0,4.0,,a'ja wilson,0,last_good_canonical,401736290.0,3149391.0,C,1.0,1.0,espn
2025-08-03,2025,A'ja Wilson,LVA,GSV,A,29.0,14.0,14.0,2.0,1.0,4.0,1.0,1.0,17.0,6.0,2.0,1.0,6.0,8.0,,a'ja wilson,0,last_good_canonical,401736294.0,3149391.0,C,1.0,1.0,espn
2025-08-07,2025,A'ja Wilson,LVA,GSV,A,32.0,27.0,7.0,3.0,0.0,2.0,2.0,3.0,11.0,8.0,11.0,11.0,3.0,4.0,,a'ja wilson,0,last_good_canonical,401736301.0,3149391.0,C,1.0,1.0,espn
2025-08-09,2025,A'ja Wilson,LVA,SEA,A,35.0,29.0,12.0,3.0,1.0,0.0,0.0,2.0,24.0,11.0,8.0,6.0,3.0,9.0,,a'ja wilson,0,last_good_canonical,401736307.0,3149391.0,C,1.0,1.0,espn
2025-08-11,2025,A'ja Wilson,LVA,CON,A,37.0,32.0,20.0,5.0,0.0,2.0,0.0,6.0,25.0,13.0,6.0,6.0,7.0,13.0,,a'ja wilson,0,last_good_canonical,401736314.0,3149391.0,C,1.0,1.0,espn
2025-08-14,2025,A'ja Wilson,LVA,NYL,A,34.0,17.0,16.0,4.0,0.0,2.0,2.0,0.0,14.0,3.0,11.0,11.0,6.0,10.0,,a'ja wilson,0,last_good_canonical,401736320.0,3149391.0,C,1.0,1.0,espn
2025-08-16,2025,A'ja Wilson,LVA,PHX,A,34.0,30.0,16.0,1.0,0.0,0.0,2.0,2.0,16.0,8.0,15.0,14.0,5.0,11.0,,a'ja wilson,0,last_good_canonical,401736326.0,3149391.0,C,1.0,1.0,espn
2025-08-17,2025,A'ja Wilson,LVA,DAL,A,31.0,34.0,8.0,1.0,1.0,2.0,3.0,1.0,16.0,11.0,14.0,11.0,1.0,7.0,,a'ja wilson,0,last_good_canonical,401736330.0,3149391.0,C,1.0,1.0,espn
2025-08-20,2025,A'ja Wilson,LVA,ATL,A,37.0,32.0,12.0,4.0,2.0,1.0,5.0,2.0,24.0,12.0,6.0,6.0,4.0,8.0,,a'ja wilson,0,last_good_canonical,401736336.0,3149391.0,C,1.0,1.0,espn
2025-08-22,2025,A'ja Wilson,LVA,PHX,A,30.0,19.0,13.0,1.0,0.0,1.0,1.0,1.0,16.0,7.0,6.0,5.0,3.0,10.0,,a'ja wilson,0,last_good_canonical,401736342.0,3149391.0,C,1.0,1.0,espn
2025-08-23,2025,A'ja Wilson,LVA,WAS,A,33.0,36.0,13.0,1.0,1.0,2.0,2.0,3.0,22.0,14.0,8.0,7.0,3.0,10.0,,a'ja wilson,0,last_good_canonical,401736347.0,3149391.0,C,1.0,1.0,espn
2025-08-26,2025,A'ja Wilson,LVA,CHI,A,35.0,18.0,9.0,3.0,1.0,1.0,2.0,4.0,18.0,7.0,4.0,3.0,1.0,8.0,,a'ja wilson,0,last_good_canonical,401736353.0,3149391.0,C,1.0,1.0,espn
2025-08-27,2025,A'ja Wilson,LVA,ATL,A,35.0,34.0,9.0,1.0,2.0,1.0,4.0,1.0,21.0,13.0,8.0,6.0,0.0,9.0,,a'ja wilson,0,last_good_canonical,401736356.0,3149391.0,C,1.0,1.0,espn
2025-09-05,2025,A'ja Wilson,LVA,MIN,A,35.0,31.0,8.0,2.0,1.0,1.0,2.0,1.0,15.0,12.0,7.0,6.0,1.0,7.0,,a'ja wilson,0,last_good_canonical,401736378.0,3149391.0,C,1.0,1.0,espn
