player_name,team,opponent,stat,line,over_odds,under_odds,sportsbook,fetched_at,source_mode,_data_source,_stat_label,_odds_type,player_key
Shakira Austin,WAS,,pr,22.5,,,prizepicks,2026-07-13T22:30:10.849144+00:00,api,api:prizepicks,Pts+Rebs,standard,shakira austin
Sonia Citron,WAS,,pa,21.5,,,prizepicks,2026-07-13T22:30:10.849144+00:00,api,api:prizepicks,Pts+Asts,standard,sonia citron
Sonia Citron,WAS,,pr,21.5,,,prizepicks,2026-07-13T22:30:10.849144+00:00,api,api:prizepicks,Pts+Rebs,standard,sonia citron
Isabelle Harrison,TOR,,pr,19.5,,,prizepicks,2026-07-13T22:30:10.849144+00:00,api,api:prizepicks,Pts+Rebs,standard,isabelle harrison
Julie Allemand,TOR,,pra,18.0,,,prizepicks,2026-07-13T22:30:10.849144+00:00,api,api:prizepicks,PRA,standard,julie allemand
Sonia Citron,WAS,,points,17.5,,,prizepicks,2026-07-13T22:30:10.849144+00:00,api,api:prizepicks,Points,standard,sonia citron
Maria Conde,TOR,,pra,16.5,,,prizepicks,2026-07-13T22:30:10.849144+00:00,api,api:prizepicks,PRA,standard,maria conde
Shakira Austin,WAS,,pa,16.5,,,prizepicks,2026-07-13T22:30:10.849144+00:00,api,api:prizepicks,Pts+Asts,standard,shakira austin
Nyara Sabally,TOR,,pr,15.5,,,prizepicks,2026-07-13T22:30:10.849144+00:00,api,api:prizepicks,Pts+Rebs,standard,nyara sabally
Kiki Iriafen,WAS,,points,14.5,,,prizepicks,2026-07-13T22:30:10.849144+00:00,api,api:prizepicks,Points,standard,kiki iriafen
Courtney Williams,MIN,,ra,9.5,,,prizepicks,2026-07-13T22:30:10.849144+00:00,api,api:prizepicks,Rebs+Asts,standard,courtney williams
Natasha Howard,MIN,,ra,10.5,,,prizepicks,2026-07-13T22:30:10.849144+00:00,api,api:prizepicks,Rebs+Asts,standard,natasha howard
Rhyne Howard,ATL,,pra,28.5,,,prizepicks,2026-07-13T22:30:10.849144+00:00,api,api:prizepicks,PRA,standard,rhyne howard
Nneka Ogwumike,LAS,,ra,12.0,,,prizepicks,2026-07-13T22:30:10.849144+00:00,api,api:prizepicks,Rebs+Asts,standard,nneka ogwumike
Jordin Canada,ATL,,pr,16.0,,,prizepicks,2026-07-13T22:30:10.849144+00:00,api,api:prizepicks,Pts+Rebs,standard,jordin canada
Dearica Hamby,LAS,,points,16.0,,,prizepicks,2026-07-13T22:30:10.849144+00:00,api,api:prizepicks,Points,standard,dearica hamby
Ariel Atkins,LAS,,pra,15.5,,,prizepicks,2026-07-13T22:30:10.849144+00:00,api,api:prizepicks,PRA,standard,ariel atkins
Rae Burrell,LAS,,points,14.5,,,prizepicks,2026-07-13T22:30:10.849144+00:00,api,api:prizepicks,Points,standard,rae burrell
Erica Wheeler,LAS,,pa,14.5,,,prizepicks,2026-07-13T22:30:10.849144+00:00,api,api:prizepicks,Pts+Asts,standard,erica wheeler
Ariel Atkins,LAS,,pr,13.5,,,prizepicks,2026-07-13T22:30:10.849144+00:00,api,api:prizepicks,Pts+Rebs,standard,ariel atkins
Jordin Canada,ATL,,ra,12.5,,,prizepicks,2026-07-13T22:30:10.849144+00:00,api,api:prizepicks,Rebs+Asts,standard,jordin canada
Jordin Canada,ATL,,points,11.5,,,prizepicks,2026-07-13T22:30:10.849144+00:00,api,api:prizepicks,Points,standard,jordin canada
Alyssa Thomas,PHX,,points,12.5,,,prizepicks,2026-07-13T22:30:10.849144+00:00,api,api:prizepicks,Points,standard,alyssa thomas
Naz Hillmon,ATL,,points,10.5,,,prizepicks,2026-07-13T22:30:10.849144+00:00,api,api:prizepicks,Points,standard,naz hillmon
Ariel Atkins,LAS,,points,10.0,,,prizepicks,2026-07-13T22:30:10.849144+00:00,api,api:prizepicks,Points,standard,ariel atkins
Erica Wheeler,LAS,,points,9.0,,,prizepicks,2026-07-13T22:30:10.849144+00:00,api,api:prizepicks,Points,standard,erica wheeler
Nneka Ogwumike,LAS,,rebounds,8.5,,,prizepicks,2026-07-13T22:30:10.849144+00:00,api,api:prizepicks,Rebounds,standard,nneka ogwumike
Jordin Canada,ATL,,assists,8.0,,,prizepicks,2026-07-13T22:30:10.849144+00:00,api,api:prizepicks,Assists,standard,jordin canada
Rhyne Howard,ATL,,ra,8.0,,,prizepicks,2026-07-13T22:30:10.849144+00:00,api,api:prizepicks,Rebs+Asts,standard,rhyne howard
Dearica Hamby,LAS,,rebounds,8.0,,,prizepicks,2026-07-13T22:30:10.849144+00:00,api,api:prizepicks,Rebounds,standard,dearica hamby
Erica Wheeler,LAS,,pra,16.5,,,prizepicks,2026-07-13T22:30:10.849144+00:00,api,api:prizepicks,PRA,standard,erica wheeler
Naz Hillmon,ATL,,pr,16.5,,,prizepicks,2026-07-13T22:30:10.849144+00:00,api,api:prizepicks,Pts+Rebs,standard,naz hillmon
Rae Burrell,LAS,,pa,17.5,,,prizepicks,2026-07-13T22:30:10.849144+00:00,api,api:prizepicks,Pts+Asts,standard,rae burrell
Rae Burrell,LAS,,pr,17.5,,,prizepicks,2026-07-13T22:30:10.849144+00:00,api,api:prizepicks,Pts+Rebs,standard,rae burrell
Allisha Gray,ATL,,pra,27.0,,,prizepicks,2026-07-13T22:30:10.849144+00:00,api,api:prizepicks,PRA,standard,allisha gray
Dearica Hamby,LAS,,pra,26.5,,,prizepicks,2026-07-13T22:30:10.849144+00:00,api,api:prizepicks,PRA,standard,dearica hamby
Nneka Ogwumike,LAS,,pr,26.0,,,prizepicks,2026-07-13T22:30:10.849144+00:00,api,api:prizepicks,Pts+Rebs,standard,nneka ogwumike
Allisha Gray,ATL,,pr,24.5,,,prizepicks,2026-07-13T22:30:10.849144+00:00,api,api:prizepicks,Pts+Rebs,standard,allisha gray
Jordin Canada,ATL,,pra,24.5,,,prizepicks,2026-07-13T22:30:10.849144+00:00,api,api:prizepicks,PRA,standard,jordin canada
Allisha Gray,ATL,,pa,24.0,,,prizepicks,2026-07-13T22:30:10.849144+00:00,api,api:prizepicks,Pts+Asts,standard,allisha gray
Rhyne Howard,ATL,,pr,24.0,,,prizepicks,2026-07-13T22:30:10.849144+00:00,api,api:prizepicks,Pts+Rebs,standard,rhyne howard
Rhyne Howard,ATL,,pa,23.5,,,prizepicks,2026-07-13T22:30:10.849144+00:00,api,api:prizepicks,Pts+Asts,standard,rhyne howard
Dearica Hamby,LAS,,pr,23.5,,,prizepicks,2026-07-13T22:30:10.849144+00:00,api,api:prizepicks,Pts+Rebs,standard,dearica hamby
Jordin Canada,ATL,,pa,20.5,,,prizepicks,2026-07-13T22:30:10.849144+00:00,api,api:prizepicks,Pts+Asts,standard,jordin canada
Allisha Gray,ATL,,points,20.5,,,prizepicks,2026-07-13T22:30:10.849144+00:00,api,api:prizepicks,Points,standard,allisha gray
Nneka Ogwumike,LAS,,pa,20.0,,,prizepicks,2026-07-13T22:30:10.849144+00:00,api,api:prizepicks,Pts+Asts,standard,nneka ogwumike
Rae Burrell,LAS,,pra,20.0,,,prizepicks,2026-07-13T22:30:10.849144+00:00,api,api:prizepicks,PRA,standard,rae burrell
Rhyne Howard,ATL,,points,19.5,,,prizepicks,2026-07-13T22:30:10.849144+00:00,api,api:prizepicks,Points,standard,rhyne howard
Naz Hillmon,ATL,,pra,18.5,,,prizepicks,2026-07-13T22:30:10.849144+00:00,api,api:prizepicks,PRA,standard,naz hillmon
