player_name,team,opponent,pitcher_name,lineup_spot,expected_pa,fantasy_points,fantasy_points_p10,fantasy_points_p50,fantasy_points_p90,confidence
Ceddanne Rafaela,Boston Red Sox,New York Yankees,Luis Gil,6,4.09,4.15,0.0,3.0,10.0,Medium
Brendan Donovan,Seattle Mariners,Athletics,Jacob Lopez,6,4.09,4.11,0.0,3.0,10.0,Medium
Matt Olson,Atlanta Braves,Washington Nationals,Foster Griffin,6,4.14,4.1,0.0,3.0,11.0,Medium
Nico Hoerner,Chicago Cubs,Philadelphia Phillies,Jesús Luzardo,6,4.09,4.09,0.0,3.0,10.0,Medium
Ildemaro Vargas,Arizona Diamondbacks,Chicago White Sox,Sean Burke,6,4.07,4.06,0.0,3.0,10.0,Medium
Casey Schmitt,San Francisco Giants,Los Angeles Dodgers,Yoshinobu Yamamoto,6,4.05,4.06,0.0,3.0,10.0,Medium
Matt Shaw,Chicago Cubs,Philadelphia Phillies,Jesús Luzardo,6,4.05,4.05,0.0,3.0,10.0,Medium
Daylen Lile,Washington Nationals,Atlanta Braves,Reynaldo López,6,4.06,4.04,0.0,3.0,10.0,Medium
James Wood,Washington Nationals,Atlanta Braves,Reynaldo López,6,4.08,4.0,0.0,3.0,11.0,Medium
Jonny DeLuca,Tampa Bay Rays,Cincinnati Reds,Chase Burns,6,4.05,4.0,0.0,3.0,10.0,Medium
Munetaka Murakami,Chicago White Sox,Arizona Diamondbacks,Merrill Kelly,6,4.14,3.99,0.0,2.0,12.0,Medium
Gary Sánchez,Milwaukee Brewers,Detroit Tigers,Keider Montero,6,4.13,3.99,0.0,2.5,11.0,Medium
Austin Riley,Atlanta Braves,Washington Nationals,Foster Griffin,6,4.12,3.99,0.0,3.0,10.0,Medium
Everson Pereira,Chicago White Sox,Arizona Diamondbacks,Merrill Kelly,6,4.12,3.96,0.0,3.0,11.0,Medium
Masyn Winn,St. Louis Cardinals,Miami Marlins,Chris Paddack,6,4.11,3.95,0.0,3.0,10.0,Medium
Jeremiah Jackson,Baltimore Orioles,Kansas City Royals,Kris Bubic,6,4.11,3.95,0.0,3.0,10.0,Medium
Daniel Susac,San Francisco Giants,Los Angeles Dodgers,Yoshinobu Yamamoto,6,4.04,3.94,0.0,3.0,10.0,Medium
Carlos Correa,Houston Astros,Cleveland Guardians,Parker Messick,6,4.12,3.91,0.0,3.0,10.0,Medium
Jake Bauers,Milwaukee Brewers,Detroit Tigers,Keider Montero,6,4.1,3.91,0.0,3.0,10.0,Medium
Connor Wong,Boston Red Sox,New York Yankees,Luis Gil,6,4.07,3.91,0.0,3.0,10.0,Medium
