slate_date,game_date,player_name,player_id,player_key,team,opponent,stat,projected_value,actual_value,error,absolute_error,squared_error,source_file,created_at_utc
2026-05-08,2026-05-08,Kennedy Burke,kennedy burke,kennedy burke,CON,NYL,points,6.3,4.0,2.3,2.3,5.289999999999999,/home/ubuntu/EdgeRanked/sports/wnba/outputs/archive/projections/wnba_projections_20260508.csv,2026-06-11T11:30:45Z
2026-05-08,2026-05-08,Kennedy Burke,kennedy burke,kennedy burke,CON,NYL,rebounds,2.23,3.0,-0.77,0.77,0.5929,/home/ubuntu/EdgeRanked/sports/wnba/outputs/archive/projections/wnba_projections_20260508.csv,2026-06-11T11:30:45Z
2026-05-08,2026-05-08,Kennedy Burke,kennedy burke,kennedy burke,CON,NYL,assists,1.12,3.0,-1.88,1.88,3.5343999999999998,/home/ubuntu/EdgeRanked/sports/wnba/outputs/archive/projections/wnba_projections_20260508.csv,2026-06-11T11:30:45Z
2026-05-08,2026-05-08,Kennedy Burke,kennedy burke,kennedy burke,CON,NYL,threes_made,0.8,0.0,0.8,0.8,0.6400000000000001,/home/ubuntu/EdgeRanked/sports/wnba/outputs/archive/projections/wnba_projections_20260508.csv,2026-06-11T11:30:45Z
2026-05-08,2026-05-08,Kennedy Burke,kennedy burke,kennedy burke,CON,NYL,steals,0.34,0.0,0.34,0.34,0.11560000000000002,/home/ubuntu/EdgeRanked/sports/wnba/outputs/archive/projections/wnba_projections_20260508.csv,2026-06-11T11:30:45Z
2026-05-08,2026-05-08,Kennedy Burke,kennedy burke,kennedy burke,CON,NYL,blocks,0.29,1.0,-0.71,0.71,0.5041,/home/ubuntu/EdgeRanked/sports/wnba/outputs/archive/projections/wnba_projections_20260508.csv,2026-06-11T11:30:45Z
2026-05-08,2026-05-08,Kia Nurse,kia nurse,kia nurse,TOR,WAS,points,11.73,2.0,9.73,9.73,94.67290000000001,/home/ubuntu/EdgeRanked/sports/wnba/outputs/archive/projections/wnba_projections_20260508.csv,2026-06-11T11:30:45Z
2026-05-08,2026-05-08,Kia Nurse,kia nurse,kia nurse,TOR,WAS,rebounds,2.6,1.0,1.6,1.6,2.5600000000000005,/home/ubuntu/EdgeRanked/sports/wnba/outputs/archive/projections/wnba_projections_20260508.csv,2026-06-11T11:30:45Z
2026-05-08,2026-05-08,Kia Nurse,kia nurse,kia nurse,TOR,WAS,assists,1.6,1.0,0.6000000000000001,0.6000000000000001,0.3600000000000001,/home/ubuntu/EdgeRanked/sports/wnba/outputs/archive/projections/wnba_projections_20260508.csv,2026-06-11T11:30:45Z
2026-05-08,2026-05-08,Kia Nurse,kia nurse,kia nurse,TOR,WAS,threes_made,2.52,0.0,2.52,2.52,6.3504000000000005,/home/ubuntu/EdgeRanked/sports/wnba/outputs/archive/projections/wnba_projections_20260508.csv,2026-06-11T11:30:45Z
2026-05-08,2026-05-08,Kia Nurse,kia nurse,kia nurse,TOR,WAS,steals,0.75,0.0,0.75,0.75,0.5625,/home/ubuntu/EdgeRanked/sports/wnba/outputs/archive/projections/wnba_projections_20260508.csv,2026-06-11T11:30:45Z
2026-05-08,2026-05-08,Kia Nurse,kia nurse,kia nurse,TOR,WAS,blocks,0.21,0.0,0.21,0.21,0.04409999999999999,/home/ubuntu/EdgeRanked/sports/wnba/outputs/archive/projections/wnba_projections_20260508.csv,2026-06-11T11:30:45Z
2026-05-08,2026-05-08,Kiki Iriafen,kiki iriafen,kiki iriafen,WAS,TOR,points,15.55,12.0,3.5500000000000007,3.5500000000000007,12.602500000000004,/home/ubuntu/EdgeRanked/sports/wnba/outputs/archive/projections/wnba_projections_20260508.csv,2026-06-11T11:30:45Z
2026-05-08,2026-05-08,Kiki Iriafen,kiki iriafen,kiki iriafen,WAS,TOR,rebounds,8.68,16.0,-7.32,7.32,53.58240000000001,/home/ubuntu/EdgeRanked/sports/wnba/outputs/archive/projections/wnba_projections_20260508.csv,2026-06-11T11:30:45Z
2026-05-08,2026-05-08,Kiki Iriafen,kiki iriafen,kiki iriafen,WAS,TOR,assists,1.55,2.0,-0.44999999999999996,0.44999999999999996,0.20249999999999996,/home/ubuntu/EdgeRanked/sports/wnba/outputs/archive/projections/wnba_projections_20260508.csv,2026-06-11T11:30:45Z
2026-05-08,2026-05-08,Kiki Iriafen,kiki iriafen,kiki iriafen,WAS,TOR,threes_made,0.38,0.0,0.38,0.38,0.1444,/home/ubuntu/EdgeRanked/sports/wnba/outputs/archive/projections/wnba_projections_20260508.csv,2026-06-11T11:30:45Z
2026-05-08,2026-05-08,Kiki Iriafen,kiki iriafen,kiki iriafen,WAS,TOR,steals,0.68,0.0,0.68,0.68,0.4624000000000001,/home/ubuntu/EdgeRanked/sports/wnba/outputs/archive/projections/wnba_projections_20260508.csv,2026-06-11T11:30:45Z
2026-05-08,2026-05-08,Kiki Iriafen,kiki iriafen,kiki iriafen,WAS,TOR,blocks,0.7,1.0,-0.30000000000000004,0.30000000000000004,0.09000000000000002,/home/ubuntu/EdgeRanked/sports/wnba/outputs/archive/projections/wnba_projections_20260508.csv,2026-06-11T11:30:45Z
2026-05-08,2026-05-08,Lauren Betts,lauren betts,lauren betts,WAS,TOR,points,18.54,0.0,18.54,18.54,343.73159999999996,/home/ubuntu/EdgeRanked/sports/wnba/outputs/archive/projections/wnba_projections_20260508.csv,2026-06-11T11:30:45Z
