GAME_DATE,PLAYER_KEY,PLAYER,TEAM,OPPONENT,MATCHUP,STAT,STAT_LABEL,PROJECTION,MEDIAN,FLOOR,CEILING,STDDEV,MIN,CONFIDENCE,ACTIVE_PROB,INJURY_STATUS,SIM_RUNS,CONFIDENCE_RANK
2026-07-16,sug sutton,Sug Sutton,DAL,NYL,DAL vs NYL,SB,Stl+Blk,0.27,0.0,0.0,1.0,0.64,9.36,Medium,,UNKNOWN,10000,2
2026-07-16,azzi fudd,Azzi Fudd,DAL,NYL,DAL vs NYL,STL,Steals,1.63,1.0,0.0,4.0,1.45,29.13,Low,,UNKNOWN,10000,1
2026-07-16,paige bueckers,Paige Bueckers,DAL,NYL,DAL vs NYL,STL,Steals,1.22,1.0,0.0,3.0,1.17,33.91,Medium,,UNKNOWN,10000,2
2026-07-16,jessica shepard,Jessica Shepard,DAL,NYL,DAL vs NYL,STL,Steals,0.99,1.0,0.0,2.0,1.01,33.4,Medium,,UNKNOWN,10000,2
2026-07-16,arike ogunbowale,Arike Ogunbowale,DAL,NYL,DAL vs NYL,STL,Steals,0.78,1.0,0.0,2.0,0.9,27.65,Low,,UNKNOWN,10000,1
2026-07-16,li yueru,Li Yueru,DAL,NYL,DAL vs NYL,STL,Steals,0.58,0.0,0.0,2.0,0.84,8.91,Medium,,UNKNOWN,10000,2
2026-07-16,aziaha james,Aziaha James,DAL,NYL,DAL vs NYL,STL,Steals,0.32,0.0,0.0,1.0,0.89,10.1,Medium,,UNKNOWN,10000,2
2026-07-16,awak kuier,Awak Kuier,DAL,NYL,DAL vs NYL,STL,Steals,0.24,0.0,0.0,1.0,0.5,19.65,Low,,UNKNOWN,10000,1
2026-07-16,maddy siegrist,Maddy Siegrist,DAL,NYL,DAL vs NYL,STL,Steals,0.24,0.0,0.0,1.0,0.74,8.93,Medium,,UNKNOWN,10000,2
2026-07-16,alysha clark,Alysha Clark,DAL,NYL,DAL vs NYL,STL,Steals,0.23,0.0,0.0,1.0,0.49,11.87,Medium,,UNKNOWN,10000,2
2026-07-16,sug sutton,Sug Sutton,DAL,NYL,DAL vs NYL,STL,Steals,0.17,0.0,0.0,1.0,0.53,9.36,Medium,,UNKNOWN,10000,2
2026-07-16,odyssey sims,Odyssey Sims,DAL,NYL,DAL vs NYL,STL,Steals,0.12,0.0,0.0,1.0,0.35,12.27,Medium,,UNKNOWN,10000,2
2026-07-16,sabrina ionescu,Sabrina Ionescu,NYL,DAL,NYL @ DAL,AST,Assists,4.4,4.0,2.0,7.0,2.25,31.9,Low,,UNKNOWN,10000,1
2026-07-16,pauline astier,Pauline Astier,NYL,DAL,NYL @ DAL,AST,Assists,3.65,3.0,1.0,6.0,2.08,22.44,Low,,UNKNOWN,10000,1
2026-07-16,breanna stewart,Breanna Stewart,NYL,DAL,NYL @ DAL,AST,Assists,2.91,3.0,1.0,6.0,1.94,28.62,Low,,UNKNOWN,10000,1
2026-07-16,marine johannes,Marine Johannes,NYL,DAL,NYL @ DAL,AST,Assists,2.78,3.0,1.0,5.0,1.71,23.72,Medium,,UNKNOWN,10000,2
2026-07-16,jonquel jones,Jonquel Jones,NYL,DAL,NYL @ DAL,AST,Assists,2.55,2.0,1.0,5.0,1.63,31.04,Medium,,UNKNOWN,10000,2
2026-07-16,betnijah laney-hamilton,Betnijah Laney-Hamilton,NYL,DAL,NYL @ DAL,AST,Assists,1.34,1.0,0.0,3.0,1.4,10.17,Low,,UNKNOWN,10000,1
2026-07-16,han xu,Han Xu,NYL,DAL,NYL @ DAL,AST,Assists,1.11,1.0,0.0,3.0,1.11,11.71,Medium,,UNKNOWN,10000,2
2026-07-16,rebekah gardner,Rebekah Gardner,NYL,DAL,NYL @ DAL,AST,Assists,1.06,0.0,0.0,3.0,1.68,18.8,Medium,,UNKNOWN,10000,2
2026-07-16,anneli maley,Anneli Maley,NYL,DAL,NYL @ DAL,AST,Assists,0.73,0.0,0.0,2.0,0.98,10.69,Low,,UNKNOWN,10000,1
2026-07-16,rebecca allen,Rebecca Allen,NYL,DAL,NYL @ DAL,AST,Assists,0.53,0.0,0.0,2.0,0.81,8.04,Medium,,UNKNOWN,10000,2
2026-07-16,raquel carrera,Raquel Carrera,NYL,DAL,NYL @ DAL,AST,Assists,0.47,0.0,0.0,1.0,0.75,9.36,Medium,,UNKNOWN,10000,2
2026-07-16,breanna stewart,Breanna Stewart,NYL,DAL,NYL @ DAL,BLK,Blocks,1.11,1.0,0.0,3.0,1.33,28.62,Low,,UNKNOWN,10000,1
2026-07-16,jonquel jones,Jonquel Jones,NYL,DAL,NYL @ DAL,BLK,Blocks,0.92,1.0,0.0,2.0,0.96,31.04,Medium,,UNKNOWN,10000,2
2026-07-16,han xu,Han Xu,NYL,DAL,NYL @ DAL,BLK,Blocks,0.53,0.0,0.0,2.0,0.75,11.71,Medium,,UNKNOWN,10000,2
2026-07-16,rebecca allen,Rebecca Allen,NYL,DAL,NYL @ DAL,BLK,Blocks,0.37,0.0,0.0,1.0,0.62,8.04,Medium,,UNKNOWN,10000,2
2026-07-16,sabrina ionescu,Sabrina Ionescu,NYL,DAL,NYL @ DAL,BLK,Blocks,0.35,0.0,0.0,1.0,0.66,31.9,Low,,UNKNOWN,10000,1
2026-07-16,betnijah laney-hamilton,Betnijah Laney-Hamilton,NYL,DAL,NYL @ DAL,BLK,Blocks,0.29,0.0,0.0,1.0,0.57,10.17,Low,,UNKNOWN,10000,1
2026-07-16,pauline astier,Pauline Astier,NYL,DAL,NYL @ DAL,BLK,Blocks,0.25,0.0,0.0,1.0,0.5,22.44,Low,,UNKNOWN,10000,1
2026-07-16,rebekah gardner,Rebekah Gardner,NYL,DAL,NYL @ DAL,BLK,Blocks,0.25,0.0,0.0,1.0,0.51,18.8,Medium,,UNKNOWN,10000,2
2026-07-16,marine johannes,Marine Johannes,NYL,DAL,NYL @ DAL,BLK,Blocks,0.24,0.0,0.0,1.0,0.49,23.72,Medium,,UNKNOWN,10000,2
2026-07-16,anneli maley,Anneli Maley,NYL,DAL,NYL @ DAL,BLK,Blocks,0.23,0.0,0.0,1.0,0.5,10.69,Low,,UNKNOWN,10000,1
2026-07-16,raquel carrera,Raquel Carrera,NYL,DAL,NYL @ DAL,BLK,Blocks,0.13,0.0,0.0,1.0,0.37,9.36,Medium,,UNKNOWN,10000,2
2026-07-16,sabrina ionescu,Sabrina Ionescu,NYL,DAL,NYL @ DAL,FG3M,3PM,2.14,2.0,0.0,4.0,1.5,31.9,Low,,UNKNOWN,10000,1
2026-07-16,marine johannes,Marine Johannes,NYL,DAL,NYL @ DAL,FG3M,3PM,2.07,2.0,0.0,4.0,1.47,23.72,Medium,,UNKNOWN,10000,2
2026-07-16,jonquel jones,Jonquel Jones,NYL,DAL,NYL @ DAL,FG3M,3PM,1.99,2.0,0.0,4.0,1.45,31.04,Medium,,UNKNOWN,10000,2
