fight_id,event_name,event_date,fighter_red,fighter_blue,source,projection_player,projection_opponent,market_type,market_label,selection,line,probability
e82c15720856,UFC 329: McGregor vs. Holloway 2,2026-07-11,Luke Riley,Kai Kamaka III,simulation,,,method,Win by Decision,decision,,0.6550563953262702
e82c15720856,UFC 329: McGregor vs. Holloway 2,2026-07-11,Luke Riley,Kai Kamaka III,simulation,,,total_rounds,Under 1.5 rounds,under,1.5,0.1782989446152722
e82c15720856,UFC 329: McGregor vs. Holloway 2,2026-07-11,Luke Riley,Kai Kamaka III,simulation,,,total_rounds,Over 1.5 rounds,over,1.5,0.8217010553847278
e82c15720856,UFC 329: McGregor vs. Holloway 2,2026-07-11,Luke Riley,Kai Kamaka III,simulation,,,total_rounds,Under 2.5 rounds,under,2.5,0.2996916782851565
e82c15720856,UFC 329: McGregor vs. Holloway 2,2026-07-11,Luke Riley,Kai Kamaka III,simulation,,,total_rounds,Over 2.5 rounds,over,2.5,0.7003083217148435
63c8f62f5efd,UFC 329: McGregor vs. Holloway 2,2026-07-11,Tracy Cortez,Wang Cong,simulation,,,moneyline,Tracy Cortez win,red,,0.45136535605918376
63c8f62f5efd,UFC 329: McGregor vs. Holloway 2,2026-07-11,Tracy Cortez,Wang Cong,simulation,,,moneyline,Wang Cong win,blue,,0.5486346439408163
63c8f62f5efd,UFC 329: McGregor vs. Holloway 2,2026-07-11,Tracy Cortez,Wang Cong,simulation,,,inside_distance,Fight ends inside distance,yes,,0.47455647013926433
63c8f62f5efd,UFC 329: McGregor vs. Holloway 2,2026-07-11,Tracy Cortez,Wang Cong,simulation,,,inside_distance,Fight goes to decision,no,,0.5254435298607356
63c8f62f5efd,UFC 329: McGregor vs. Holloway 2,2026-07-11,Tracy Cortez,Wang Cong,simulation,,,method,Win by KO/TKO,ko_tko,,0.3736360221660203
63c8f62f5efd,UFC 329: McGregor vs. Holloway 2,2026-07-11,Tracy Cortez,Wang Cong,simulation,,,method,Win by Submission,submission,,0.10092044797324401
63c8f62f5efd,UFC 329: McGregor vs. Holloway 2,2026-07-11,Tracy Cortez,Wang Cong,simulation,,,method,Win by Decision,decision,,0.5254435298607356
63c8f62f5efd,UFC 329: McGregor vs. Holloway 2,2026-07-11,Tracy Cortez,Wang Cong,simulation,,,total_rounds,Under 1.5 rounds,under,1.5,0.27662375983370696
63c8f62f5efd,UFC 329: McGregor vs. Holloway 2,2026-07-11,Tracy Cortez,Wang Cong,simulation,,,total_rounds,Over 1.5 rounds,over,1.5,0.7233762401662931
63c8f62f5efd,UFC 329: McGregor vs. Holloway 2,2026-07-11,Tracy Cortez,Wang Cong,simulation,,,total_rounds,Under 2.5 rounds,under,2.5,0.40655705996329994
63c8f62f5efd,UFC 329: McGregor vs. Holloway 2,2026-07-11,Tracy Cortez,Wang Cong,simulation,,,total_rounds,Over 2.5 rounds,over,2.5,0.5934429400367001
ea6da5068461,UFC 329: McGregor vs. Holloway 2,2026-07-11,Damian Pinas,Cesar Almeida,simulation,,,moneyline,Damian Pinas win,red,,0.7602185628486521
ea6da5068461,UFC 329: McGregor vs. Holloway 2,2026-07-11,Damian Pinas,Cesar Almeida,simulation,,,moneyline,Cesar Almeida win,blue,,0.23978143715134792
ea6da5068461,UFC 329: McGregor vs. Holloway 2,2026-07-11,Damian Pinas,Cesar Almeida,simulation,,,inside_distance,Fight ends inside distance,yes,,0.4811546650693057
ea6da5068461,UFC 329: McGregor vs. Holloway 2,2026-07-11,Damian Pinas,Cesar Almeida,simulation,,,inside_distance,Fight goes to decision,no,,0.5188453349306943
ea6da5068461,UFC 329: McGregor vs. Holloway 2,2026-07-11,Damian Pinas,Cesar Almeida,simulation,,,method,Win by KO/TKO,ko_tko,,0.3278322485966478
ea6da5068461,UFC 329: McGregor vs. Holloway 2,2026-07-11,Damian Pinas,Cesar Almeida,simulation,,,method,Win by Submission,submission,,0.1533224164726579
ea6da5068461,UFC 329: McGregor vs. Holloway 2,2026-07-11,Damian Pinas,Cesar Almeida,simulation,,,method,Win by Decision,decision,,0.5188453349306943
ea6da5068461,UFC 329: McGregor vs. Holloway 2,2026-07-11,Damian Pinas,Cesar Almeida,simulation,,,total_rounds,Under 1.5 rounds,under,1.5,0.2869941572953933
ea6da5068461,UFC 329: McGregor vs. Holloway 2,2026-07-11,Damian Pinas,Cesar Almeida,simulation,,,total_rounds,Over 1.5 rounds,over,1.5,0.7130058427046067
ea6da5068461,UFC 329: McGregor vs. Holloway 2,2026-07-11,Damian Pinas,Cesar Almeida,simulation,,,total_rounds,Under 2.5 rounds,under,2.5,0.41204290987114867
ea6da5068461,UFC 329: McGregor vs. Holloway 2,2026-07-11,Damian Pinas,Cesar Almeida,simulation,,,total_rounds,Over 2.5 rounds,over,2.5,0.5879570901288513
3e8eb55043a6,UFC 329: McGregor vs. Holloway 2,2026-07-11,Farid Basharat,Ethyn Ewing,simulation,,,moneyline,Farid Basharat win,red,,0.8794095886665452
3e8eb55043a6,UFC 329: McGregor vs. Holloway 2,2026-07-11,Farid Basharat,Ethyn Ewing,simulation,,,moneyline,Ethyn Ewing win,blue,,0.12059041133345483
3e8eb55043a6,UFC 329: McGregor vs. Holloway 2,2026-07-11,Farid Basharat,Ethyn Ewing,simulation,,,inside_distance,Fight ends inside distance,yes,,0.3678531767352866
3e8eb55043a6,UFC 329: McGregor vs. Holloway 2,2026-07-11,Farid Basharat,Ethyn Ewing,simulation,,,inside_distance,Fight goes to decision,no,,0.6321468232647134
3e8eb55043a6,UFC 329: McGregor vs. Holloway 2,2026-07-11,Farid Basharat,Ethyn Ewing,simulation,,,method,Win by KO/TKO,ko_tko,,0.25976536873381323
3e8eb55043a6,UFC 329: McGregor vs. Holloway 2,2026-07-11,Farid Basharat,Ethyn Ewing,simulation,,,method,Win by Submission,submission,,0.1080878080014734
3e8eb55043a6,UFC 329: McGregor vs. Holloway 2,2026-07-11,Farid Basharat,Ethyn Ewing,simulation,,,method,Win by Decision,decision,,0.6321468232647134
3e8eb55043a6,UFC 329: McGregor vs. Holloway 2,2026-07-11,Farid Basharat,Ethyn Ewing,simulation,,,total_rounds,Under 1.5 rounds,under,1.5,0.22067021203494042
3e8eb55043a6,UFC 329: McGregor vs. Holloway 2,2026-07-11,Farid Basharat,Ethyn Ewing,simulation,,,total_rounds,Over 1.5 rounds,over,1.5,0.7793297879650596
3e8eb55043a6,UFC 329: McGregor vs. Holloway 2,2026-07-11,Farid Basharat,Ethyn Ewing,simulation,,,total_rounds,Under 2.5 rounds,under,2.5,0.3157733505145561
3e8eb55043a6,UFC 329: McGregor vs. Holloway 2,2026-07-11,Farid Basharat,Ethyn Ewing,simulation,,,total_rounds,Over 2.5 rounds,over,2.5,0.6842266494854439
