PLAYER_NAME,TEAM,STAT,LINE,IS_REGULAR_HINT,IS_GOBLIN,IS_DEMON,START_TIME_ET,BOARD_TIME_ET,UPDATED_AT_ET
Dylan Harper,SAS,Defensive Rebounds,2.5,True,False,False,2026-05-26T20:40:00-04:00,2026-05-20T16:29:00-04:00,2026-05-25T16:48:17.462000-04:00
Dylan Harper,SAS,Dunks,0.5,False,False,False,2026-05-26T20:40:00-04:00,2026-04-26T20:40:00-04:00,2026-05-25T15:57:50.036000-04:00
Dylan Harper,SAS,FG Attempted,7.5,False,False,False,2026-05-26T20:40:00-04:00,2026-04-27T20:54:00-04:00,2026-05-25T21:09:23.275000-04:00
Dylan Harper,SAS,Free Throws Attempted,1.5,False,False,False,2026-05-26T20:40:00-04:00,2026-04-27T20:42:00-04:00,2026-05-25T20:43:42.303000-04:00
Dylan Harper,SAS,Personal Fouls,1.5,False,False,False,2026-05-26T20:40:00-04:00,2026-05-01T08:09:00-04:00,2026-05-25T13:56:02.386000-04:00
Dylan Harper,SAS,Points,9.0,True,False,False,2026-05-26T20:40:00-04:00,2026-05-24T23:06:34.287000-04:00,2026-05-25T07:05:22.469000-04:00
Dylan Harper,SAS,Pts+Asts,11.5,True,False,False,2026-05-26T20:40:00-04:00,2026-05-24T22:52:11.094000-04:00,2026-05-24T23:25:34.518000-04:00
Dylan Harper,SAS,Pts+Rebs,12.5,True,False,False,2026-05-26T20:40:00-04:00,2026-05-24T22:52:11.613000-04:00,2026-05-24T22:59:13.971000-04:00
Dylan Harper,SAS,Pts+Rebs+Asts,14.5,True,False,False,2026-05-26T20:40:00-04:00,2026-05-24T22:58:56.285000-04:00,2026-05-25T16:31:20.513000-04:00
Dylan Harper,SAS,Rebounds,5.5,False,False,False,2026-05-26T20:40:00-04:00,2026-05-24T22:52:12.384000-04:00,2026-05-25T18:57:39.046000-04:00
Dylan Harper,SAS,Rebs+Asts,5.5,True,False,False,2026-05-26T20:40:00-04:00,2026-05-24T22:52:12.707000-04:00,2026-05-24T23:19:09.825000-04:00
Dylan Harper,SAS,Steals,0.5,False,False,False,2026-05-26T20:40:00-04:00,2026-05-24T23:23:17.155000-04:00,2026-05-26T00:57:19.117000-04:00
Dylan Harper,SAS,Turnovers,1.5,False,False,False,2026-05-26T20:40:00-04:00,2026-05-25T01:01:39.982000-04:00,2026-05-25T13:56:02.076000-04:00
Dylan Harper,SAS,Two Pointers Attempted,4.5,False,False,False,2026-05-26T20:40:00-04:00,2026-03-30T20:54:00-04:00,2026-05-25T20:57:14.340000-04:00
Dylan Harper,SAS,Two Pointers Made,2.5,True,False,False,2026-05-26T20:40:00-04:00,2026-03-30T20:54:00-04:00,2026-05-25T20:57:14.340000-04:00
