PLAYER,RAW_STAT,NORMALIZED_STAT
Kristaps Porziņģis,Assists - 1st 3 Minutes,ASSISTS 1ST 3 MINUTES
Kristaps Porziņģis,Blks+Stls,BLKS+STLS
Kristaps Porziņģis,Blocked Shots,BLOCKED SHOTS
Kristaps Porziņģis,Free Throws Attempted,FREE THROWS ATTEMPTED
Kristaps Porziņģis,Free Throws Made,FREE THROWS MADE
Kristaps Porziņģis,Personal Fouls,PERSONAL FOULS
Kristaps Porziņģis,Points - 1st 3 Minutes,POINTS 1ST 3 MINUTES
Kristaps Porziņģis,Pts+Asts,PTS+ASTS
Kristaps Porziņģis,Pts+Rebs,PTS+REBS
Kristaps Porziņģis,Pts+Rebs+Asts,PTS+REBS+ASTS
Kristaps Porziņģis,Quarters with 3+ Points,QUARTERS WITH 3+ POINTS
Kristaps Porziņģis,Quarters with 5+ Points,QUARTERS WITH 5+ POINTS
Kristaps Porziņģis,Rebounds - 1st 3 Minutes,REBOUNDS 1ST 3 MINUTES
Kristaps Porziņģis,Rebs+Asts,REBS+ASTS
Kristaps Porziņģis,Turnovers,TURNOVERS
Kristaps Porziņģis,Two Pointers Attempted,TWO POINTERS ATTEMPTED
Luguentz Dort,3-PT Attempted,3PT ATTEMPTED
Luguentz Dort,Assists - 1st 3 Minutes,ASSISTS 1ST 3 MINUTES
Luguentz Dort,Blks+Stls,BLKS+STLS
Luguentz Dort,Blocked Shots,BLOCKED SHOTS
Luguentz Dort,FG Attempted,FG ATTEMPTED
Luguentz Dort,FG Made,FG MADE
Luguentz Dort,Free Throws Attempted,FREE THROWS ATTEMPTED
Luguentz Dort,Personal Fouls,PERSONAL FOULS
Luguentz Dort,Points - 1st 3 Minutes,POINTS 1ST 3 MINUTES
Luguentz Dort,Pts+Asts,PTS+ASTS
Luguentz Dort,Pts+Rebs,PTS+REBS
Luguentz Dort,Pts+Rebs+Asts,PTS+REBS+ASTS
Luguentz Dort,Rebounds - 1st 3 Minutes,REBOUNDS 1ST 3 MINUTES
Luguentz Dort,Rebs+Asts,REBS+ASTS
Luguentz Dort,Turnovers,TURNOVERS
Luguentz Dort,Two Pointers Attempted,TWO POINTERS ATTEMPTED
Mikal Bridges,3-PT Attempted,3PT ATTEMPTED
Mikal Bridges,Assists - 1st 3 Minutes,ASSISTS 1ST 3 MINUTES
Mikal Bridges,Blks+Stls,BLKS+STLS
Mikal Bridges,Blocked Shots,BLOCKED SHOTS
Mikal Bridges,Free Throws Attempted,FREE THROWS ATTEMPTED
Mikal Bridges,Personal Fouls,PERSONAL FOULS
Mikal Bridges,Points - 1st 3 Minutes,POINTS 1ST 3 MINUTES
Mikal Bridges,Pts+Asts,PTS+ASTS
Mikal Bridges,Pts+Rebs,PTS+REBS
Mikal Bridges,Pts+Rebs+Asts,PTS+REBS+ASTS
Mikal Bridges,Rebounds - 1st 3 Minutes,REBOUNDS 1ST 3 MINUTES
Mikal Bridges,Rebs+Asts,REBS+ASTS
Mikal Bridges,Turnovers,TURNOVERS
Mikal Bridges,Two Pointers Made,TWO POINTERS MADE
Mitchell Robinson,Blks+Stls,BLKS+STLS
Mitchell Robinson,Blocked Shots,BLOCKED SHOTS
Mitchell Robinson,Defensive Rebounds,DEFENSIVE REBOUNDS
Mitchell Robinson,FG Attempted,FG ATTEMPTED
Mitchell Robinson,FG Made,FG MADE
Mitchell Robinson,Free Throws Attempted,FREE THROWS ATTEMPTED
Mitchell Robinson,Free Throws Made,FREE THROWS MADE
Mitchell Robinson,Offensive Rebounds,OFFENSIVE REBOUNDS
Mitchell Robinson,Pts+Asts,PTS+ASTS
Mitchell Robinson,Pts+Rebs,PTS+REBS
Mitchell Robinson,Pts+Rebs+Asts,PTS+REBS+ASTS
